id,f1,f2,f3,f4,y1,y2,y3
0,25.07,22.01,28,1787.662506,0,0,0
1,25.03,22.03,28,4937.038422,-0.13,-0.0399999999999991,-0.850000000000001
2,25.04,22.01,28,8086.338043,-0.26,-0.0899999999999999,-2.17
3,25.02,22.06,28,11236.43875,-0.21,-0.0699999999999994,-4.18
4,25.02,22.11,29,14387.41684,-0.18,-0.0999999999999996,-7.27
5,25.03,22.02,29,17528.95355,-0.0699999999999998,-0.0699999999999994,-11.6
6,25.07,22.05,29,19984.93195,-0.21,-0.149999999999999,-15.73
7,25.04,22.04,29,19999.92371,-0.33,-0.23,-16.56
8,25.05,21.99,29,19999.94278,-0.28,-0.329999999999999,-16.61
9,25.04,22.02,29,19999.92371,-0.28,-0.31,-16.67
10,25.03,22.02,29,19999.90463,-0.26,-0.279999999999999,-17.59
11,25.03,22.02,29,20000.01907,-0.28,-0.43,-17.6
12,25.09,22.07,29,20000.03815,-0.23,-0.449999999999999,-18.07
13,25.03,22.03,29,20000.17166,-0.25,-0.48,-18.37
14,25.04,22.05,29,20000.15259,-0.25,-0.529999999999999,-18.54
15,25.04,22,29,20000.2861,-0.24,-0.47,-18.62
16,25.13,22.05,29,20000.07629,-0.18,-0.55,-18.84
17,25.1,22.07,29,20000.01907,-0.21,-0.529999999999999,-19.39
18,25.13,22.1,29,19999.84741,-0.19,-0.609999999999999,-19.53
19,25.13,22.04,29,19999.40872,-0.2,-0.619999999999999,-19.52
20,25.12,22.05,29,19999.7139,-0.2,-0.739999999999999,-19.56
21,25.19,22.04,29,20000.03815,-0.18,-0.68,-19.91
22,25.22,22.03,29,20000.11444,-0.2,-0.699999999999999,-20.37
23,25.2,22.05,29,19999.80927,-0.25,-0.699999999999999,-20.54
24,25.23,22.05,29,19999.82834,-0.26,-0.69,-20.52
25,25.33,22.05,29,19995.42236,-0.31,-0.869999999999999,-20.51
26,25.32,22.07,29,20004.02451,-0.27,-0.709999999999999,-20.67
27,25.37,22.05,29,19998.22617,-0.29,-0.739999999999999,-21.11
28,25.33,21.98,29,20000.34332,-0.24,-0.84,-21.49
29,25.39,22.07,29,20002.72751,-0.21,-0.81,-21.57
30,25.44,22.05,29,19995.84198,-0.25,-0.85,-21.55
31,25.5,22.03,29,20003.28064,-0.28,-0.89,-21.61
32,25.49,22.02,29,20001.37329,-0.25,-0.8,-21.95
33,25.56,22.06,29,19995.04089,-0.25,-0.85,-22.31
34,25.55,22.04,29,20004.17709,-0.28,-0.8,-22.53
35,25.54,22.01,29,19999.44687,-0.37,-0.789999999999999,-22.54
36,25.63,22.01,29,19996.75751,-0.29,-0.859999999999999,-22.58
37,25.66,22.09,28,20003.60489,-0.27,-0.789999999999999,-22.57
38,25.71,22.04,28,19996.50955,-0.29,-0.909999999999999,-22.69
39,25.7,22.03,29,20003.24249,-0.21,-0.8,-22.97
40,25.73,22.05,28,20001.77383,-0.35,-0.92,-23.36
41,25.74,22.05,28,19995.13626,-0.33,-0.9,-23.49
42,25.83,22.05,29,20004.21524,-0.31,-0.869999999999999,-23.52
43,25.86,22.06,29,19998.53134,-0.33,-0.909999999999999,-23.54
44,25.84,22.04,29,19996.49048,-0.34,-0.89,-23.55
45,25.87,22.07,29,20003.60489,-0.27,-0.9,-23.62
46,25.86,22.06,28,19996.24252,-0.36,-0.829999999999999,-23.84
47,25.9,22.04,29,20002.97546,-0.34,-0.93,-24.3
48,25.9,22.07,28,20002.13623,-0.39,-0.959999999999999,-24.47
49,25.94,22,29,19995.51773,-0.34,-0.909999999999999,-24.59
50,26.04,22.03,29,20003.89099,-0.28,-0.93,-24.56
51,26.07,22.07,29,20001.71661,-0.36,-0.9,-24.59
52,25.98,22.04,29,19995.28885,-0.36,-1,-24.65
53,26.05,22.09,29,20003.47137,-0.31,-0.989999999999999,-24.91
54,26.08,22,29,20001.88828,-0.34,-0.89,-25.26
55,26.12,22.07,28,19995.55588,-0.36,-1.01,-25.49
56,26.07,22.09,28,20003.64304,-0.33,-0.909999999999999,-25.56
57,26.14,22.07,29,20001.18256,-0.33,-0.93,-25.55
58,26.15,22.05,29,19994.75479,-0.33,-1.04,-25.59
59,26.2,22.01,29,20004.27246,-0.4,-1.01,-25.57
60,26.15,22.05,29,19999.12262,-0.36,-1.04,-25.59
61,26.23,22.01,29,19995.88013,-0.34,-0.949999999999999,-25.81
62,26.22,22.01,28,20004.00543,-0.37,-0.98,-26.07
63,26.2,22.05,29,19998.01636,-0.39,-1.03,-26.41
64,26.23,22.04,29,19998.18802,-0.39,-1.04,-26.56
65,26.25,22.08,29,20003.52859,-0.35,-0.98,-26.63
66,26.28,22.04,29,19997.32971,-0.4,-0.94,-26.6
67,26.25,22.01,28,20000.07629,-0.31,-1.02,-26.61
68,26.33,22.01,29,20003.03268,-0.39,-0.94,-26.58
69,26.33,22.01,28,19996.20438,-0.41,-1,-26.63
70,26.34,22.04,29,20003.26157,-0.38,-1.05,-27.12
71,26.33,22.05,28,20001.85013,-0.4,-1.09,-27.41
72,26.36,22.07,28,19995.46051,-0.38,-0.989999999999999,-27.56
73,26.34,22.03,29,20003.85284,-0.37,-1,-27.63
74,26.37,21.98,29,20000.01907,-0.39,-1.07,-27.63
75,26.34,22.03,29,19995.38422,-0.39,-1.02,-27.63
76,26.4,22.01,29,20004.15802,-0.41,-1.08,-27.66
77,26.41,22.05,29,19998.47412,-0.42,-0.97,-27.62
78,26.41,22.1,29,19998.24524,-0.42,-1.01,-27.8
79,26.42,22.05,28,20003.35693,-0.4,-1.01,-28.02
80,26.43,22.02,29,19996.56677,-0.42,-1.01,-28.29
81,26.44,22.02,29,20002.26974,-0.42,-1.09,-28.53
82,26.42,22.01,29,20001.98364,-0.44,-1.05,-28.61
83,26.39,22.02,29,19994.94553,-0.38,-1.09,-28.61
84,26.51,22.07,29,20004.27246,-0.42,-1.14,-28.62
85,26.51,22.07,29,19998.16895,-0.44,-1.1,-28.63
86,26.47,22.08,29,19999.48502,-0.4,-1.13,-28.63
87,26.5,22.01,29,20002.61307,-0.44,-1.05,-28.69
88,26.51,22.05,29,19995.26978,-0.46,-1.1,-28.88
89,26.56,22.03,29,20004.50134,-0.48,-1.09,-29.09
90,26.53,22.06,29,19998.74115,-0.45,-1.05,-29.57
91,26.57,22.05,29,19997.88284,-0.41,-1.04,-29.6
92,26.54,22.04,29,20003.1662,-0.44,-1.02,-29.61
93,26.61,22.02,29,19996.07086,-0.44,-1.12,-29.63
94,26.51,22.05,29,20003.49045,-0.43,-1.1,-29.61
95,26.61,21.97,29,20000.49591,-0.44,-1.03,-29.6
96,26.59,22.05,29,19996.07086,-0.44,-1.06,-29.64
97,26.58,22.09,29,20003.75748,-0.46,-1.07,-29.73
98,26.6,22,29,19996.37604,-0.49,-1.17,-30.01
99,26.59,22.04,29,20003.75748,-0.44,-1.14,-30.2
100,26.62,22.03,29,20000.34332,-0.48,-1.21,-30.46
101,26.6,22.05,29,19996.56677,-0.47,-1.08,-30.52
102,26.62,22.07,29,20003.29971,-0.44,-1.13,-30.64
103,26.63,22.07,29,19995.82291,-0.5,-1.1,-30.61
104,26.61,22.01,29,20004.06265,-0.46,-1.12,-30.63
105,26.66,22.04,29,19998.16895,-0.53,-1.2,-30.67
106,26.64,22.09,29,20002.34604,-0.52,-1.12,-30.64
107,26.63,21.99,29,20000.43869,-0.5,-1.12,-30.68
108,26.58,22.08,29,19997.06268,-0.46,-1.13,-30.76
109,26.65,22.02,29,20002.2316,-0.53,-1.14,-30.93
110,26.68,22.01,29,19995.55588,-0.51,-1.22,-31.47
111,26.67,22.08,29,20003.39508,-0.5,-1.14,-31.63
112,26.68,22.07,29,19996.24252,-0.59,-1.17,-31.71
113,26.64,22.05,29,20003.96729,-0.47,-1.15,-31.65
114,26.67,22,29,19997.42508,-0.43,-1.04,-31.64
115,26.6,22.01,29,20002.34604,-0.49,-1.13,-31.61
116,26.63,22.01,29,20001.18256,-0.57,-1.19,-31.72
117,26.65,22.07,29,19995.5368,-0.52,-1.17,-31.67
118,26.7,22.02,29,20003.75748,-0.56,-1.28,-31.79
119,26.75,22.06,29,19996.98639,-0.46,-1.17,-31.93
120,26.72,22.03,29,20003.14713,-0.56,-1.27,-32.26
121,26.71,22.08,29,19999.88556,-0.49,-1.16,-32.45
122,26.69,22.03,29,19998.53134,-0.55,-1.2,-32.64
123,26.72,22.07,29,20002.28882,-0.5,-1.2,-32.6
124,26.75,22.04,29,19995.34607,-0.59,-1.19,-32.67
125,26.74,22.05,29,20003.52859,-0.54,-1.2,-32.6
126,26.76,22.08,29,19995.47958,-0.49,-1.16,-32.61
127,26.77,22.07,29,20003.87192,-0.57,-1.2,-32.69
128,26.72,22.09,29,19998.47412,-0.45,-1.22,-32.67
129,26.79,22.05,29,20001.65939,-0.55,-1.3,-32.74
130,26.72,22.03,29,20001.23978,-0.6,-1.29,-33.15
131,26.77,22.06,29,19995.13626,-0.55,-1.24,-33.37
