id,f1,f2,f3,f4,y1,y2,y3
0,25.34,22.33,29,3991.966248,0,0,0
1,25.37,22.36,29,7142.658234,-0.02,-0.01,-1.88
2,25.31,22.32,29,10291.65268,0.14,0.13,-5.35
3,25.34,22.32,29,13443.69888,0.11,0.11,-10.9
4,25.33,22.35,29,16589.96582,-0.02,-0.19,-15.79
5,25.37,22.36,29,19335.46066,-0.06,-0.21,-17.97
6,25.35,22.4,29,19999.92371,-0.02,-0.25,-23.11
7,25.34,22.33,29,20000.05722,-0.02,-0.23,-22.57
8,25.3,22.31,29,19999.82834,0,-0.33,-21.77
9,25.34,22.33,29,20000.15259,0.06,-0.35,-20.9
10,25.33,22.32,29,20000,0.1,-0.26,-20.32
11,25.39,22.35,29,20000.05722,0.07,-0.36,-19.67
12,25.37,22.31,29,20000.05722,0.09,-0.43,-18.98
13,25.34,22.38,29,19999.86649,0.13,-0.42,-18.06
14,25.41,22.3,29,19999.82834,0.2,-0.37,-17.07
15,25.37,22.31,29,19999.96185,0.09,-0.47,-17.02
16,25.4,22.33,29,20000.07629,0.06,-0.53,-17.04
17,25.42,22.43,29,19999.75204,0.08,-0.57,-17.05
18,25.45,22.33,29,19999.98093,0.12,-0.48,-17.05
19,25.46,22.35,29,20000,0.15,-0.43,-17.04
20,25.46,22.37,29,20000.09537,0.12,-0.45,-17.75
21,25.52,22.33,29,20000.07629,0.12,-0.59,-17.77
22,25.5,22.34,29,20000.03815,0.12,-0.6,-17.98
23,25.53,22.33,29,20000.01907,0.09,-0.59,-18.46
24,25.53,22.36,29,20000.03815,0.08,-0.63,-18.73
25,25.57,22.33,29,20000.01907,0.09,-0.57,-18.77
26,25.6,22.36,29,20000,0.1,-0.63,-18.76
27,25.62,22.36,29,19999.80927,0.11,-0.57,-18.75
28,25.67,22.3,29,19999.86649,0.07,-0.66,-18.74
29,25.66,22.33,29,19999.98093,0.14,-0.66,-20.75
30,25.71,22.31,29,20000.09537,0.11,-0.63,-19.82
31,25.77,22.37,29,19999.92371,0.08,-0.68,-19.68
32,25.76,22.33,29,20000.07629,0.09,-0.62,-19.78
33,25.85,22.37,29,19999.98093,0.09,-0.68,-19.78
34,25.82,22.39,29,19999.98093,0.08,-0.63,-19.8
35,25.87,22.33,29,19999.77112,0.1,-0.65,-20.18
36,25.92,22.35,29,20000.24796,0.04,-0.66,-20.6
37,25.96,22.38,29,20000.05722,0.05,-0.7,-19.95
38,25.92,22.28,29,20000.01907,0.05,-0.7,-19.12
39,25.97,22.31,29,20000.19073,0.14,-0.61,-22.36
40,25.96,22.33,29,19999.75204,0.11,-0.7,-21.6
41,26.08,22.39,29,19999.82834,0.11,-0.73,-20.79
42,26.12,22.32,29,19999.79019,0.09,-0.72,-20.88
43,26.11,22.29,29,19999.90463,0.05,-0.67,-21.22
44,26.2,22.33,29,19999.7139,0.02,-0.74,-21.59
45,26.08,22.32,29,20000.13351,0.08,-0.72,-21.75
46,26.16,22.32,29,20000.05722,0.03,-0.74,-21.8
47,26.19,22.31,29,19999.84741,0,-0.75,-21.36
48,26.19,22.38,29,19999.86649,0.04,-0.7,-24.37
49,26.24,22.35,29,19999.73297,0.1,-0.69,-23.52
50,26.26,22.32,29,19999.90463,0.04,-0.75,-22.66
51,26.31,22.31,29,20000.17166,0.07,-0.76,-22.09
52,26.36,22.33,28,19999.90463,0.08,-0.76,-22.51
53,26.32,22.32,28,19999.92371,0.05,-0.78,-22.67
54,26.4,22.33,29,20000.05722,0.07,-0.78,-22.7
55,26.34,22.3,29,20000.09537,0.02,-0.74,-22.69
56,26.37,22.36,29,19999.86649,0.04,-0.81,-22.57
