id,f1,f2,f3,f4,y1,y2,y3
0,26.61,23.42,30,1787.986755,0,0,0
1,26.64,23.44,30,4936.599731,-0.0899999999999999,-0.1,-0.74
2,26.66,23.44,30,8086.242676,-0.24,-0.15,-2.08
3,26.65,23.44,30,11236.45782,-0.14,-0.13,-3.85
4,26.68,23.41,30,14387.16888,-0.0999999999999999,-0.0600000000000001,-12.1
5,26.63,23.41,30,17531.07071,0.1,0.00999999999999979,-19.21
6,26.66,23.43,31,19996.9101,-0.0699999999999998,-0.19,-26.45
7,26.64,23.44,31,20000.05722,-0.2,-0.25,-25.94
8,26.69,23.4,30,19999.86649,-0.15,-0.39,-25.41
9,26.68,23.44,31,20000.11444,-0.0800000000000001,-0.3,-24.08
10,26.67,23.4,30,19999.92371,-0.13,-0.44,-23.25
11,26.66,23.41,30,20000.05722,-0.0299999999999998,-0.4,-22.59
12,26.68,23.47,30,19999.94278,-0.01,-0.45,-21.95
13,26.67,23.43,30,19999.88556,0.02,-0.47,-21.23
14,26.66,23.5,30,20000.13351,-0.04,-0.53,-20.28
15,26.69,23.45,31,20000.03815,0.04,-0.55,-18.92
16,26.7,23.43,30,19999.84741,-0.0600000000000001,-0.61,-18.32
17,26.73,23.45,30,19999.80927,0,-0.66,-18.37
18,26.78,23.4,30,20000.05722,-0.0499999999999998,-0.59,-18.53
19,26.72,23.44,30,20000.01907,0.01,-0.58,-19.34
20,26.85,23.46,30,19999.94278,0.02,-0.7,-19.35
21,26.81,23.42,30,20000.01907,0.0800000000000001,-0.63,-19.43
22,26.8,23.38,30,19999.94278,0.03,-0.61,-19.41
23,26.86,23.4,30,20000.01907,0.01,-0.7,-19.46
24,26.88,23.41,30,19999.92371,0.05,-0.66,-19.83
25,26.91,23.41,30,19999.88556,0,-0.65,-20.19
26,26.96,23.46,30,19999.88556,0.02,-0.73,-20.34
27,26.98,23.4,30,19999.73297,0.01,-0.74,-20.38
28,26.98,23.42,30,20000.22888,-0.02,-0.75,-23.38
29,27,23.44,30,20000.05722,0.03,-0.71,-22.47
30,27.08,23.44,30,19999.54224,0.04,-0.69,-21.6
31,27.05,23.38,30,19999.82834,0.02,-0.75,-21.01
32,27.11,23.44,30,20000.05722,0,-0.77,-21.08
33,27.14,23.43,30,19999.54224,0.05,-0.72,-21.32
34,27.17,23.43,30,19999.88556,0.01,-0.73,-21.36
35,27.19,23.45,30,19999.92371,0.0800000000000001,-0.7,-21.37
36,27.21,23.42,30,20000.01907,-0.04,-0.77,-21.42
37,27.25,23.42,30,19999.82834,-0.04,-0.8,-21.45
38,27.33,23.44,30,19999.65668,0.0600000000000001,-0.74,-25.08
39,27.27,23.44,30,20000,-0.02,-0.84,-24.22
40,27.39,23.43,30,20000.13351,0,-0.76,-23.34
41,27.36,23.41,30,20000.38147,0.0700000000000001,-0.75,-22.4
42,27.39,23.37,30,20000.11444,0,-0.88,-22.39
43,27.47,23.4,30,20000.32425,-0.04,-0.87,-22.42
44,27.49,23.43,30,20000.01907,0.05,-0.83,-22.44
45,27.5,23.43,30,19999.73297,0.0600000000000001,-0.82,-22.58
46,27.49,23.42,30,20000.07629,-0.01,-0.86,-22.79
47,27.56,23.41,30,19999.80927,-0.01,-0.85,-26.74
48,27.53,23.37,30,19999.82834,0.03,-0.83,-26.15
49,27.67,23.43,30,19999.96185,-0.0499999999999998,-0.85,-25.17
50,27.64,23.33,30,20000.22888,-0.0299999999999998,-0.81,-24.18
51,27.64,23.41,30,19999.96185,0.01,-0.81,-23.27
52,27.7,23.42,30,19999.96185,-0.0699999999999998,-0.89,-23.25
53,27.62,23.39,30,20000.26703,-0.0600000000000001,-0.86,-23.47
54,27.71,23.42,30,20000.01907,-0.04,-0.79,-23.86
55,27.74,23.44,30,20000.19073,0,-0.92,-24.22
56,27.74,23.48,30,19999.7139,0.01,-0.86,-24.19
57,27.73,23.44,30,19999.92371,-0.12,-0.87,-26.61
58,27.76,23.44,30,20000.01907,-0.0699999999999998,-0.91,-25.64
59,27.74,23.4,30,19999.80927,-0.0299999999999998,-0.84,-24.7
60,27.78,23.46,30,20000.01907,-0.0999999999999999,-0.88,-24.61
