id,f1,f2,f3,f4,y1,y2,y3
0,25.96,22.83,29,3551.502228,0,0,0
1,26.04,22.89,29,6701.278687,-0.11,-0.0299999999999998,-1.94
2,25.98,22.83,30,9852.027893,-0.15,-0.0499999999999998,-4.62
3,25.95,22.84,30,13001.59454,-0.12,0.0100000000000002,-9.25
4,26.03,22.79,30,16151.04675,0.00999999999999998,0.0300000000000002,-15.11
5,25.98,22.83,30,19013.15689,-0.02,0.0100000000000002,-23.64
6,25.98,22.83,30,20000.03815,-0.13,-0.13,-26.86
7,26.03,22.82,30,20000.03815,-0.19,-0.11,-26.59
8,25.96,22.8,30,20000.11444,-0.09,-0.16,-25.64
9,26,22.84,30,19999.94278,-0.09,-0.23,-24.67
10,25.99,22.79,30,19999.75204,-0.17,-0.2,-23.84
11,26.04,22.82,30,20000.30518,-0.16,-0.24,-23.47
12,26.04,22.88,30,19999.75204,-0.1,-0.32,-22.6
13,26.02,22.85,30,19999.61853,-0.05,-0.36,-21.73
14,26.14,22.86,30,20000.20981,-0.15,-0.28,-20.81
15,26.06,22.83,30,19999.75204,0.02,-0.44,-19.22
16,26.1,22.9,30,19999.75204,-0.04,-0.3,-18.53
17,26.12,22.87,30,19999.61853,-0.06,-0.39,-18.58
18,26.1,22.84,30,19999.67575,0,-0.39,-18.55
19,26.12,22.84,30,20000.26703,-0.02,-0.36,-18.61
20,26.11,22.85,30,19999.73297,0.06,-0.61,-18.93
21,26.17,22.89,30,19999.4278,0.04,-0.5,-19.43
22,26.2,22.86,30,19999.92371,0.05,-0.59,-19.58
23,26.24,22.83,29,19999.82834,-0.04,-0.51,-19.57
24,26.23,22.81,30,20000.13351,-0.08,-0.49,-19.56
25,26.33,22.83,30,19999.80927,-0.03,-0.49,-21.68
26,26.34,22.81,29,19999.61853,0.02,-0.6,-20.7
27,26.43,22.84,30,19999.56131,-0.03,-0.56,-20
28,26.33,22.81,30,19999.75204,-0.02,-0.48,-20.4
29,26.37,22.81,30,20000.19073,-0.04,-0.67,-20.64
30,26.37,22.84,30,19999.94278,0.04,-0.64,-20.71
31,26.48,22.81,30,20000,-0.08,-0.69,-20.67
32,26.47,22.83,30,20000.20981,0.00999999999999998,-0.67,-20.66
33,26.48,22.83,30,20000.17166,-0.04,-0.61,-20.68
34,26.57,22.83,30,20000.05722,-0.11,-0.55,-20.84
35,26.58,22.82,30,20000.15259,-0.04,-0.62,-24.01
36,26.6,22.85,29,20000.13351,-0.07,-0.71,-23.2
37,26.66,22.85,29,20000.24796,-0.06,-0.6,-22.45
38,26.68,22.83,29,20000.22888,-0.09,-0.63,-21.7
39,26.7,22.86,29,20000.24796,-0.12,-0.62,-21.77
40,26.7,22.84,29,19999.86649,-0.06,-0.71,-21.71
41,26.74,22.86,29,20000.15259,-0.11,-0.62,-21.79
42,26.76,22.86,30,19999.75204,0.02,-0.72,-21.81
43,26.78,22.84,30,20000.26703,-0.05,-0.7,-22.08
44,26.85,22.86,30,19999.46594,-0.07,-0.73,-26.14
45,26.82,22.87,29,19999.96185,-0.08,-0.59,-25.27
46,26.85,22.81,29,19999.61853,-0.06,-0.76,-24.52
47,26.91,22.85,29,19999.96185,-0.09,-0.66,-23.65
48,26.87,22.83,29,20000.01907,0,-0.64,-22.88
49,26.96,22.77,29,20000,-0.12,-0.72,-22.93
50,26.98,22.8,29,19999.86649,-0.11,-0.64,-22.91
51,26.95,22.85,29,20000.01907,-0.09,-0.64,-22.89
52,27.01,22.83,29,19999.75204,-0.09,-0.77,-22.91
53,26.98,22.86,29,20000.07629,-0.15,-0.72,-23
54,27,22.84,29,19999.80927,-0.07,-0.7,-25.95
55,27.05,22.84,30,19999.94278,-0.08,-0.71,-24.25
56,27.04,22.86,30,20000.17166,-0.03,-0.66,-23.9
57,27.08,22.82,29,19999.88556,-0.12,-0.61,-23.98
58,27.21,22.87,29,19999.58038,-0.08,-0.61,-23.96
59,27.08,22.8,30,19999.98093,-0.06,-0.71,-23.96
60,27.15,22.93,29,19999.4278,-0.05,-0.76,-24
61,27.19,22.83,29,19999.67575,-0.08,-0.63,-24.04
62,27.19,22.87,29,20000.24796,-0.12,-0.68,-24.18
63,27.21,22.83,29,20000.47684,-0.09,-0.79,-26.25
64,27.19,22.89,29,20000.34332,-0.12,-0.77,-25.39
65,27.19,22.86,29,20000.05722,-0.05,-0.75,-24.82
66,27.27,22.82,29,19999.96185,-0.02,-0.71,-24.91
67,27.22,22.8,29,19999.84741,-0.08,-0.77,-25.1
68,27.24,22.86,29,19999.98093,-0.06,-0.72,-25.15
69,27.27,22.84,30,19999.94278,-0.12,-0.74,-25.14
70,27.32,22.82,30,20000.13351,-0.09,-0.79,-25.14
71,27.33,22.91,29,19999.92371,-0.13,-0.74,-25.14
72,27.29,22.83,29,20000.01907,-0.19,-0.65,-25.17
73,27.33,22.89,30,20000.24796,-0.13,-0.66,-27.81
74,27.34,22.84,30,19999.79019,-0.11,-0.75,-26.82
75,27.36,22.86,29,19999.59946,-0.14,-0.77,-25.83
76,27.35,22.83,30,19999.88556,-0.04,-0.7,-25.78
77,27.35,22.86,30,19999.96185,-0.17,-0.67,-25.77
78,27.35,22.83,30,20000.05722,-0.09,-0.77,-25.79
79,27.36,22.83,29,19999.94278,-0.09,-0.77,-25.89
80,27.36,22.8,30,20000.03815,-0.19,-0.68,-26.16
81,27.37,22.84,30,19999.92371,-0.07,-0.71,-26.42
82,27.36,22.86,30,19999.90463,-0.08,-0.7,-27.57
83,27.42,22.83,30,20000.03815,-0.19,-0.7,-26.8
84,27.38,22.84,30,20000.34332,-0.12,-0.72,-26.39
85,27.43,22.83,29,19997.69211,-0.15,-0.66,-26.55
86,27.4,22.83,30,20003.01361,-0.16,-0.7,-26.85
